"","classe","formato.chapéu","superficie.chapéu","cor.chapéu","manchas","cheiro","fixação.himênio","espaço.himênio","tamanho.himênio","cor.himênio","formato.estipe","micélio","superficie.estipe.acima.anel","superficie.estipe.abaixo.anel","cor.estipe.acima.anel","cor.estipe.abaixo.anel","tipo.volva","cor.volva","numero.anel","tipo.anel","cor.esporo","população","habitat"
"1843","comestível","convexo","escamoso","cinza","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1846","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1847","comestível","plano","macio","cinza","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1850","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","preto","varias","madeiras"
"1851","comestível","plano","fibroso","vermelho","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1853","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","branco","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"1855","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","preto","solitario","madeiras"
"1856","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cor de rosa","branco","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1857","comestível","convexo","fibroso","amarelo","manchado","amendoa","livre","lotado","estreito","branco","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"1859","venenoso","plano","macio","branco","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","graminea"
"1860","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1861","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1862","comestível","convexo","escamoso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1863","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1864","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cor de rosa","branco","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1865","comestível","convexo","macio","cinza","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1866","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cor de rosa","cinza","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1867","comestível","convexo","escamoso","marrom","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cor de rosa","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"1869","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1870","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1872","comestível","plano","fibroso","vermelho","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cor de rosa","cinza","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1873","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1874","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1875","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"1877","comestível","convexo","escamoso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"1878","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","branco","cinza","parcial","branco","um","pendente","preto","solitario","madeiras"
"1879","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1880","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1881","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1885","comestível","plano","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1887","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1888","venenoso","plano","escamoso","branco","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","graminea"
"1889","comestível","plano","fibroso","cinza","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","preto","varias","madeiras"
"1890","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","branco","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"1892","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1893","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1896","comestível","convexo","escamoso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"1897","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1898","comestível","plano","macio","cinza","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1899","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1903","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1904","comestível","plano","macio","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1905","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1906","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1908","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"1909","comestível","plano","macio","cinza","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1912","comestível","convexo","escamoso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","preto","varias","madeiras"
"1913","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cinza","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1914","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1915","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1917","venenoso","plano","escamoso","branco","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","urbano"
"1918","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1919","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1921","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","preto","solitario","madeiras"
"1922","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1924","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1926","comestível","plano","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","preto","varias","madeiras"
"1927","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1928","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1932","comestível","sino","macio","branco","manchado","amendoa","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"1934","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1935","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1936","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1938","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1939","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1940","comestível","convexo","macio","cinza","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1941","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1942","comestível","plano","fibroso","marrom","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cinza","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"1943","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","preto","varias","madeiras"
"1944","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1945","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1946","venenoso","plano","macio","branco","manchado","forte","livre","perto","estreito","preto","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"1947","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1950","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1951","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"1952","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"1953","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","cinza","cor de rosa","parcial","branco","um","pendente","preto","solitario","madeiras"
"1954","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cor de rosa","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"1955","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","cor de rosa","cinza","parcial","branco","um","pendente","preto","varias","madeiras"
"1960","venenoso","plano","escamoso","marrom","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"1961","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","cinza","parcial","branco","um","pendente","preto","solitario","madeiras"
"1962","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1963","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","preto","varias","madeiras"
"1964","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1965","comestível","plano","macio","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1967","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","branco","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"1969","comestível","plano","fibroso","marrom","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"1970","comestível","plano","macio","branco","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"1972","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1975","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1976","venenoso","plano","escamoso","branco","manchado","forte","livre","perto","estreito","marrom","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"1979","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1981","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1983","comestível","convexo","escamoso","branco","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"1984","comestível","convexo","macio","branco","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1985","comestível","convexo","escamoso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cor de rosa","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"1989","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"1991","venenoso","plano","escamoso","marrom","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","graminea"
"1992","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"1993","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"1994","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1996","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cor de rosa","cinza","parcial","branco","um","pendente","marrom","solitario","madeiras"
"1997","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"1998","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"1999","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"2000","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"2001","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","marrom","varias","madeiras"
"2002","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"2003","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"2004","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","preto","solitario","madeiras"
"2005","venenoso","plano","escamoso","branco","manchado","forte","livre","perto","estreito","branco","alargando","uniforme","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","urbano"
"2006","comestível","convexo","escamoso","amarelo","manchado","anis","livre","perto","largo","marrom","alargando","enraizado","macio","escamoso","branco","branco","parcial","branco","um","pendente","marrom","espalhado","graminea"
"2011","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"2012","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"2013","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","preto","varias","madeiras"
"2014","comestível","plano","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"2016","comestível","plano","macio","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"2018","comestível","plano","macio","amarelo","manchado","amendoa","livre","lotado","estreito","marrom","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"2019","comestível","plano","fibroso","branco","manchado","amendoa","livre","lotado","estreito","marrom","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"2021","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","madeiras"
"2022","comestível","convexo","escamoso","cinza","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cinza","cor de rosa","parcial","branco","um","pendente","preto","solitario","madeiras"
"2024","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"2025","comestível","convexo","fibroso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","branco","parcial","branco","um","pendente","marrom","solitario","madeiras"
"2026","comestível","convexo","fibroso","marrom","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cor de rosa","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"2027","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"2030","comestível","sino","escamoso","branco","manchado","anis","livre","perto","largo","preto","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","espalhado","prados"
"2031","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","preto","varias","madeiras"
"2032","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"2034","comestível","plano","escamoso","marrom","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","cinza","cinza","parcial","branco","um","pendente","preto","solitario","madeiras"
"2035","comestível","convexo","escamoso","cinza","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cor de rosa","cinza","parcial","branco","um","pendente","preto","varias","madeiras"
"2038","comestível","convexo","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"2039","comestível","convexo","macio","cinza","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","abundante","graminea"
"2040","comestível","convexo","escamoso","vermelho","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","preto","solitario","madeiras"
"2041","comestível","plano","fibroso","cinza","manchado","nenhum","livre","perto","largo","branco","afilando","bulbo","macio","macio","cor de rosa","branco","parcial","branco","um","pendente","marrom","solitario","madeiras"
"2042","comestível","plano","fibroso","marrom","manchado","nenhum","livre","perto","largo","marrom","afilando","bulbo","macio","macio","cor de rosa","branco","parcial","branco","um","pendente","preto","solitario","madeiras"
"2043","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"2044","comestível","plano","macio","marrom","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","fibroso","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"2045","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","marrom","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"2047","comestível","convexo","fibroso","vermelho","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","branco","cor de rosa","parcial","branco","um","pendente","marrom","varias","madeiras"
"2048","comestível","convexo","fibroso","marrom","sem mancha","nenhum","livre","lotado","largo","chocolate","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"2049","comestível","convexo","escamoso","marrom","manchado","nenhum","livre","perto","largo","cor de rosa","afilando","bulbo","macio","macio","branco","cinza","parcial","branco","um","pendente","preto","varias","madeiras"
"2051","comestível","convexo","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","abundante","graminea"
"2053","comestível","convexo","macio","marrom","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","macio","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
"2055","comestível","plano","fibroso","marrom","manchado","nenhum","livre","perto","largo","roxo","afilando","bulbo","macio","macio","cinza","branco","parcial","branco","um","pendente","marrom","varias","madeiras"
"2056","comestível","plano","fibroso","branco","sem mancha","nenhum","livre","lotado","largo","preto","afilando","uniforme","fibroso","fibroso","branco","branco","parcial","branco","um","evanescente","preto","espalhado","graminea"
"2060","comestível","convexo","macio","branco","manchado","amendoa","livre","perto","largo","marrom","alargando","club","macio","macio","branco","branco","parcial","branco","um","pendente","preto","numeroso","prados"
"2063","comestível","plano","fibroso","cinza","sem mancha","nenhum","livre","lotado","largo","cor de rosa","afilando","uniforme","fibroso","macio","branco","branco","parcial","branco","um","evanescente","marrom","espalhado","graminea"
